,loss_list,val_acc_list,train_acc_list,6 wavelets,12 wavelets,19 wavelets,25 wavelets,32 wavelets,layer chunk 0,layer chunk 1,layer chunk 2,layer chunk 3,layer chunk 4,layer chunk 5
0,352.1644778251648,33.53,36.25,27.05,36.01,36.83,35.78,32.02,0.3949463943686301,0.44851129864932915,0.4530973485507406,0.4139661442961736,0.49793173993574796,0.4448000001838234
1,263.0414000749588,54.99,66.25,29.72,52.35,55.35,53.45,54.88,0.4029294579622112,0.513796399968507,0.5178192080563068,0.49830592436773485,0.5414821970177673,0.5005356849871181
2,199.2218057513237,59.3,75.0,28.96,48.72,60.83,58.04,60.71,0.31674306571905303,0.48127799723429376,0.5328700751875347,0.588367528807123,0.6048451425015217,0.6894976289585971
3,164.92247492074966,68.44,72.5,36.37,48.46,65.46,69.32,68.24,0.44654549068121446,0.47186407779176737,0.4778944604287975,0.4085149254572438,0.5029537399752011,0.5097010293239611
4,140.09887558221817,72.31,78.75,37.38,50.56,68.39,72.97,69.43,0.32499789743617596,0.43497993580167693,0.4831981380891786,0.47996111473935726,0.5569085870248619,0.4712510147635561
5,120.66317301988602,76.28,80.0,38.06,51.34,74.09,74.19,72.47,0.44135960624710735,0.4464283334252415,0.4152386748671443,0.48697308198946054,0.5693293790845834,0.5535495803416242
6,103.76254713535309,76.89,90.0,37.93,51.03,73.58,75.1,71.45,0.41527038863304827,0.4432371306940491,0.3811520173748452,0.49518394531631843,0.6403503092296127,0.5371745672019594
7,91.79353603720665,79.73,86.25,38.07,52.64,75.79,77.8,74.17,0.44198986927784384,0.4280365602923069,0.5165204438952906,0.5466182435375083,0.4748177480693989,0.6450017115335341
8,81.13376146554947,77.76,91.25,38.21,43.14,73.65,76.31,75.95,0.39233573574189146,0.4326150393692315,0.35634803484605143,0.5151317926848374,0.5194639261464817,0.4729316043837408
9,72.71795010566711,79.52,92.5,38.27,10.0,74.27,78.67,77.34,0.36116664739040116,0.4254992690368743,0.5740680020315241,0.4868738322893219,0.6257444671813088,0.6418484588844514
10,64.88384820520878,80.61,87.5,38.24,10.0,74.9,76.41,76.98,0.4033126983075669,0.4907364988870851,0.5291613552427884,0.4659014689115637,0.6024474531316254,0.568977170330011
11,57.26720413565636,81.91,96.25,38.82,19.01,75.92,81.08,78.46,0.47730472581837435,0.46920097982726233,0.46784194796725354,0.3695605830110992,0.5201931202322846,0.6710026011186268
12,51.57843045890331,79.51,91.25,38.39,10.0,71.81,78.22,76.21,0.3667327229784424,0.44084223367997155,0.5083056898031557,0.3880381513996003,0.5631685393102739,0.6467677264710114
13,45.20997504889965,82.52,95.0,38.91,10.0,80.79,81.01,78.5,0.459654631047242,0.5489173511733608,0.555659661858114,0.5688179640404479,0.5178229179183937,0.7165554304503211
14,39.88037995249033,82.6,95.0,39.05,10.0,79.49,82.21,78.27,0.5008252281860803,0.399802194973529,0.408911593202082,0.5378948422714983,0.563147665435666,0.7367466688755656
